case_id,analyst_id,customer_type,country,risk_rating,review_type,open_date,due_date,completion_date,case_status
KYC-0265,ANL-01,Corporate,Spain,High,Periodic,2026-09-08,2026-10-18,,In Progress
KYC-0266,ANL-05,Corporate,Netherlands,Low,Triggered,2026-08-02,2026-08-28,2026-09-06,Completed
KYC-0267,ANL-04,Individual,France,High,Periodic,2026-01-07,2026-02-16,2026-03-01,Completed
KYC-0268,ANL-04,Corporate,Ireland,High,Onboarding,2026-07-18,2026-08-12,2026-08-06,Completed
KYC-0269,ANL-06,Individual,Germany,Low,Triggered,2026-05-29,2026-06-24,2026-07-15,Completed
KYC-0270,ANL-01,Individual,Netherlands,Low,Triggered,2026-09-07,2026-10-03,,In Progress
KYC-0271,ANL-02,Individual,Spain,Low,Triggered,2026-03-30,2026-04-25,2026-05-14,Completed
KYC-0272,ANL-06,Corporate,Spain,Medium,Periodic,2026-02-09,2026-03-26,2026-02-25,Completed
KYC-0273,ANL-05,Individual,Italy,Low,Periodic,2025-12-01,2026-01-20,2026-01-23,Completed
KYC-0274,ANL-07,Individual,Germany,High,Periodic,2026-09-20,2026-10-30,,In Progress
KYC-0275,ANL-06,Corporate,Greece,High,Onboarding,2026-07-11,2026-08-05,,Open
KYC-0276,ANL-01,Individual,Spain,Medium,Onboarding,2026-04-06,2026-05-06,2026-04-10,Completed
KYC-0277,ANL-03,Individual,France,Low,Periodic,2026-07-15,2026-09-03,,Open
KYC-0278,ANL-05,Corporate,Ireland,Medium,Periodic,2026-08-28,2026-10-12,2026-09-04,Completed
KYC-0279,ANL-06,Individual,Greece,Low,Triggered,2025-12-12,2026-01-07,2026-01-22,Completed
KYC-0280,ANL-07,Corporate,Italy,High,Periodic,2026-07-01,2026-08-10,2026-08-08,Completed
KYC-0281,ANL-08,Individual,Germany,Low,Periodic,2026-08-21,2026-10-10,2026-09-04,Completed
KYC-0282,ANL-04,Individual,Cyprus,Medium,Onboarding,2026-09-22,2026-10-22,,In Progress
KYC-0283,ANL-01,Corporate,Spain,High,Periodic,2026-06-21,2026-07-31,2026-07-18,Completed
KYC-0284,ANL-07,Individual,Ireland,Low,Periodic,2026-09-22,2026-11-11,,In Progress
KYC-0285,ANL-08,Corporate,Spain,Low,Periodic,2026-08-10,2026-09-29,2026-08-28,Completed
KYC-0286,ANL-04,Corporate,Ireland,Medium,Onboarding,2026-01-26,2026-02-25,2026-03-01,Completed
KYC-0287,ANL-02,Corporate,Netherlands,Low,Periodic,2026-08-07,2026-09-26,,Open
KYC-0288,ANL-08,Individual,Netherlands,High,Triggered,2026-08-06,2026-08-22,,In Progress
KYC-0289,ANL-01,Corporate,Netherlands,Low,Periodic,2026-01-15,2026-03-06,2026-03-16,Completed
KYC-0290,ANL-02,Corporate,Cyprus,Low,Onboarding,2025-12-07,2026-01-11,2026-02-10,Completed
KYC-0291,ANL-07,Corporate,Cyprus,Medium,Periodic,2026-07-01,2026-08-15,2026-07-11,Completed
KYC-0292,ANL-07,Corporate,Greece,Medium,Periodic,2026-01-28,2026-03-14,2026-02-26,Completed
KYC-0293,ANL-03,Corporate,Italy,Low,Onboarding,2026-06-14,2026-07-19,2026-08-01,Completed
KYC-0294,ANL-01,Individual,Spain,Low,Periodic,2025-12-01,2026-01-20,2026-01-16,Completed
KYC-0295,ANL-03,Individual,Greece,Medium,Periodic,2026-03-08,2026-04-22,2026-03-23,Completed
KYC-0296,ANL-07,Corporate,Ireland,Medium,Periodic,2026-05-28,2026-07-12,2026-06-13,Completed
KYC-0297,ANL-08,Corporate,Greece,High,Onboarding,2026-06-26,2026-07-21,,In Progress
KYC-0298,ANL-02,Individual,Netherlands,Medium,Onboarding,2026-07-31,2026-08-30,,In Progress
KYC-0299,ANL-08,Individual,Italy,High,Periodic,2026-03-13,2026-04-22,2026-05-08,Completed
KYC-0300,ANL-02,Individual,France,High,Periodic,2026-05-02,2026-06-11,2026-06-02,Completed
KYC-0301,ANL-02,Corporate,France,Low,Triggered,2026-09-21,2026-10-17,,Open
KYC-0302,ANL-07,Individual,Cyprus,Medium,Triggered,2026-04-23,2026-05-14,2026-06-06,Completed
KYC-0303,ANL-05,Individual,Greece,Low,Periodic,2026-09-19,2026-11-08,,Open
KYC-0304,ANL-06,Corporate,Netherlands,High,Onboarding,2026-08-06,2026-08-31,,Open
KYC-0305,ANL-04,Individual,Spain,Low,Onboarding,2026-09-07,2026-10-12,,In Progress
KYC-0306,ANL-04,Individual,Greece,High,Periodic,2026-09-02,2026-10-12,,Open
KYC-0307,ANL-08,Corporate,France,Low,Onboarding,2026-08-15,2026-09-19,2026-09-25,Completed
KYC-0308,ANL-01,Individual,Greece,Low,Periodic,2026-09-03,2026-10-23,2026-09-24,Completed
KYC-0309,ANL-08,Corporate,Netherlands,Low,Triggered,2026-08-19,2026-09-14,2026-09-11,Completed
KYC-0310,ANL-04,Individual,France,Medium,Triggered,2026-07-23,2026-08-13,,Open
KYC-0311,ANL-06,Individual,Greece,Medium,Onboarding,2026-08-11,2026-09-10,,Open
KYC-0312,ANL-06,Corporate,Spain,High,Onboarding,2026-09-02,2026-09-27,,In Progress
KYC-0313,ANL-03,Individual,Ireland,Low,Periodic,2026-05-07,2026-06-26,2026-06-14,Completed
KYC-0314,ANL-03,Individual,Italy,Medium,Periodic,2026-07-10,2026-08-24,,In Progress
KYC-0315,ANL-06,Corporate,Italy,Medium,Triggered,2026-01-12,2026-02-02,2026-03-01,Completed
KYC-0316,ANL-08,Individual,Ireland,High,Triggered,2026-09-10,2026-09-26,,In Progress
KYC-0317,ANL-07,Corporate,Ireland,Low,Triggered,2026-08-22,2026-09-17,,In Progress
KYC-0318,ANL-01,Corporate,Netherlands,Low,Periodic,2026-07-12,2026-08-31,,In Progress
KYC-0319,ANL-05,Corporate,Cyprus,Low,Onboarding,2026-09-07,2026-10-12,,In Progress
KYC-0320,ANL-04,Corporate,France,Low,Triggered,2026-05-06,2026-06-01,2026-07-02,Completed
KYC-0321,ANL-08,Corporate,Greece,Low,Periodic,2026-06-30,2026-08-19,2026-08-30,Completed
KYC-0322,ANL-03,Corporate,Netherlands,Low,Onboarding,2026-05-02,2026-06-06,2026-05-27,Completed
KYC-0323,ANL-06,Individual,Germany,Low,Periodic,2026-04-08,2026-05-28,2026-05-27,Completed
KYC-0324,ANL-03,Individual,Cyprus,Medium,Periodic,2026-06-22,2026-08-06,,In Progress
KYC-0325,ANL-01,Individual,Netherlands,High,Periodic,2026-07-02,2026-08-11,,In Progress
KYC-0326,ANL-07,Corporate,France,Medium,Onboarding,2026-08-30,2026-09-29,,In Progress
KYC-0327,ANL-01,Individual,Germany,Medium,Onboarding,2026-08-29,2026-09-28,,In Progress
KYC-0328,ANL-06,Corporate,Germany,High,Triggered,2025-12-28,2026-01-13,2026-01-21,Completed
KYC-0329,ANL-06,Individual,Netherlands,High,Triggered,2026-08-05,2026-08-21,,In Progress
KYC-0330,ANL-04,Individual,Greece,High,Triggered,2026-09-19,2026-10-05,,Open
KYC-0331,ANL-04,Individual,Netherlands,Low,Periodic,2026-08-16,2026-10-05,,In Progress
KYC-0332,ANL-07,Individual,Netherlands,Low,Onboarding,2026-08-08,2026-09-12,,In Progress
KYC-0333,ANL-07,Corporate,Spain,High,Onboarding,2026-01-19,2026-02-13,2026-03-07,Completed
KYC-0334,ANL-02,Individual,Italy,Low,Triggered,2026-08-09,2026-09-04,,In Progress
KYC-0335,ANL-06,Individual,Greece,Medium,Onboarding,2026-07-22,2026-08-21,,In Progress
KYC-0336,ANL-01,Individual,Cyprus,Medium,Onboarding,2026-08-17,2026-09-16,,Open
KYC-0337,ANL-04,Individual,Cyprus,Low,Onboarding,2026-07-24,2026-08-28,,Open
KYC-0338,ANL-02,Corporate,Germany,Low,Triggered,2026-05-11,2026-06-06,2026-05-20,Completed
KYC-0339,ANL-06,Individual,Netherlands,Medium,Periodic,2025-12-15,2026-01-29,2026-01-21,Completed
KYC-0340,ANL-03,Individual,Italy,Low,Periodic,2026-05-27,2026-07-16,2026-06-11,Completed
KYC-0341,ANL-03,Individual,Ireland,Medium,Periodic,2026-09-18,2026-11-02,,In Progress
KYC-0342,ANL-03,Individual,Netherlands,Low,Periodic,2026-08-19,2026-10-08,,Open
KYC-0343,ANL-02,Individual,France,Medium,Triggered,2025-11-24,2025-12-15,2026-01-01,Completed
KYC-0344,ANL-08,Individual,Greece,Low,Onboarding,2026-08-04,2026-09-08,,In Progress
KYC-0345,ANL-02,Corporate,Greece,Low,Onboarding,2026-03-23,2026-04-27,2026-05-11,Completed
KYC-0346,ANL-03,Corporate,Spain,Medium,Onboarding,2026-08-04,2026-09-03,,In Progress
KYC-0347,ANL-01,Individual,Italy,Low,Periodic,2026-06-10,2026-07-30,2026-07-18,Completed
KYC-0348,ANL-02,Corporate,Cyprus,Low,Periodic,2026-02-26,2026-04-17,2026-04-28,Completed
KYC-0349,ANL-04,Individual,Greece,Low,Periodic,2026-07-31,2026-09-19,,In Progress
KYC-0350,ANL-04,Individual,Germany,Medium,Onboarding,2026-01-17,2026-02-16,2026-02-01,Completed
KYC-0351,ANL-06,Corporate,Italy,High,Periodic,2026-04-05,2026-05-15,2026-04-18,Completed
KYC-0352,ANL-04,Corporate,France,High,Periodic,2026-09-23,2026-11-02,,In Progress
KYC-0353,ANL-02,Individual,Spain,Medium,Onboarding,2026-01-22,2026-02-21,2026-02-12,Completed
KYC-0354,ANL-07,Individual,Netherlands,High,Onboarding,2025-12-06,2025-12-31,2025-12-13,Completed
KYC-0355,ANL-07,Individual,Netherlands,Medium,Periodic,2026-06-20,2026-08-04,2026-07-24,Completed
KYC-0356,ANL-07,Corporate,Greece,Medium,Triggered,2026-09-05,2026-09-26,,In Progress
KYC-0357,ANL-02,Individual,Cyprus,Medium,Onboarding,2026-09-11,2026-10-11,,Open
KYC-0358,ANL-01,Corporate,Italy,High,Onboarding,2026-01-25,2026-02-19,2026-02-03,Completed
KYC-0359,ANL-03,Corporate,Italy,Low,Periodic,2026-02-12,2026-04-03,2026-02-15,Completed
KYC-0360,ANL-07,Individual,Spain,Low,Onboarding,2026-02-17,2026-03-24,2026-02-23,Completed
KYC-0361,ANL-05,Corporate,Germany,Medium,Onboarding,2026-06-27,2026-07-27,2026-07-14,Completed
KYC-0362,ANL-06,Individual,Spain,Low,Periodic,2026-09-10,2026-10-30,,In Progress
KYC-0363,ANL-04,Individual,Cyprus,High,Periodic,2026-02-05,2026-03-17,2026-03-17,Completed
KYC-0364,ANL-08,Corporate,Spain,Medium,Triggered,2026-08-28,2026-09-18,2026-09-19,Completed
KYC-0365,ANL-04,Corporate,Italy,High,Triggered,2026-02-14,2026-03-02,2026-02-18,Completed
KYC-0366,ANL-07,Corporate,Netherlands,Low,Onboarding,2026-08-30,2026-10-04,,In Progress
KYC-0367,ANL-01,Individual,Greece,Low,Triggered,2026-03-24,2026-04-19,2026-05-27,Completed
KYC-0368,ANL-08,Individual,Greece,Low,Periodic,2026-01-25,2026-03-16,2026-03-19,Completed
KYC-0369,ANL-07,Individual,Netherlands,Low,Periodic,2025-12-27,2026-02-15,2026-01-22,Completed
KYC-0370,ANL-04,Corporate,Cyprus,High,Periodic,2026-08-16,2026-09-25,,In Progress
KYC-0371,ANL-06,Corporate,Ireland,Medium,Onboarding,2026-08-07,2026-09-06,,In Progress
KYC-0372,ANL-01,Corporate,Italy,Low,Triggered,2026-05-24,2026-06-19,2026-07-01,Completed
KYC-0373,ANL-01,Individual,Germany,Low,Periodic,2026-02-13,2026-04-04,2026-02-17,Completed
KYC-0374,ANL-04,Individual,Spain,Medium,Onboarding,2026-08-05,2026-09-04,,Open
KYC-0375,ANL-08,Individual,Cyprus,Low,Onboarding,2026-08-12,2026-09-16,,Open
KYC-0376,ANL-07,Corporate,Italy,Low,Periodic,2026-01-04,2026-02-23,2026-03-01,Completed
KYC-0377,ANL-06,Corporate,Ireland,Medium,Periodic,2026-09-17,2026-11-01,,In Progress
KYC-0378,ANL-05,Individual,Cyprus,Medium,Onboarding,2025-12-05,2026-01-04,2026-01-19,Completed
KYC-0379,ANL-04,Individual,Germany,Low,Periodic,2026-08-26,2026-10-15,2026-09-10,Completed
KYC-0380,ANL-07,Individual,Greece,Low,Periodic,2026-07-10,2026-08-29,,In Progress
KYC-0381,ANL-06,Individual,Cyprus,Low,Periodic,2026-07-22,2026-09-10,,In Progress
KYC-0382,ANL-07,Individual,Greece,Low,Periodic,2026-08-06,2026-09-25,,In Progress
KYC-0383,ANL-07,Individual,Ireland,Medium,Triggered,2026-07-25,2026-08-15,,Open
KYC-0384,ANL-08,Individual,Netherlands,Medium,Periodic,2026-09-09,2026-10-24,,In Progress
KYC-0385,ANL-03,Individual,Netherlands,Medium,Triggered,2026-01-25,2026-02-15,2026-01-30,Completed
KYC-0386,ANL-05,Corporate,Ireland,Medium,Periodic,2026-08-22,2026-10-06,,Open
KYC-0387,ANL-01,Corporate,Greece,Medium,Onboarding,2026-01-25,2026-02-24,2026-03-13,Completed
KYC-0388,ANL-06,Corporate,Germany,Low,Onboarding,2026-02-08,2026-03-15,2026-03-09,Completed
KYC-0389,ANL-02,Individual,Netherlands,Medium,Triggered,2026-02-24,2026-03-17,2026-04-30,Completed
KYC-0390,ANL-05,Individual,Ireland,Medium,Periodic,2025-11-25,2026-01-09,2026-01-08,Completed
KYC-0391,ANL-08,Individual,Italy,Medium,Onboarding,2026-09-10,2026-10-10,2026-09-15,Completed
KYC-0392,ANL-08,Individual,Cyprus,Low,Triggered,2026-03-25,2026-04-20,2026-04-11,Completed
KYC-0393,ANL-06,Corporate,Greece,Medium,Triggered,2026-07-29,2026-08-19,,In Progress
KYC-0394,ANL-07,Corporate,Germany,Low,Onboarding,2025-11-28,2026-01-02,2025-12-21,Completed
KYC-0395,ANL-02,Corporate,Netherlands,Medium,Periodic,2026-02-15,2026-04-01,2026-03-14,Completed
KYC-0396,ANL-07,Corporate,Spain,Low,Periodic,2026-06-14,2026-08-03,2026-07-25,Completed
KYC-0397,ANL-02,Corporate,Italy,Low,Triggered,2026-03-04,2026-03-30,2026-04-04,Completed
KYC-0398,ANL-01,Individual,Spain,Low,Triggered,2026-09-18,2026-10-14,,In Progress
KYC-0399,ANL-03,Individual,Italy,Medium,Periodic,2026-08-04,2026-09-18,2026-09-12,Completed
KYC-0400,ANL-08,Individual,Spain,Low,Onboarding,2026-01-31,2026-03-07,2026-04-05,Completed
KYC-0401,ANL-05,Corporate,Greece,High,Triggered,2026-09-16,2026-10-02,,Open
KYC-0402,ANL-06,Individual,Italy,Medium,Periodic,2026-09-20,2026-11-04,,In Progress
KYC-0403,ANL-07,Individual,Ireland,Medium,Periodic,2026-06-10,2026-07-25,,In Progress
KYC-0404,ANL-02,Corporate,Cyprus,Medium,Periodic,2026-08-15,2026-09-29,2026-08-25,Completed
KYC-0405,ANL-01,Individual,France,Medium,Periodic,2026-07-24,2026-09-07,,Open
KYC-0406,ANL-06,Individual,Ireland,Low,Periodic,2026-04-26,2026-06-15,2026-05-19,Completed
KYC-0407,ANL-03,Individual,Ireland,Medium,Onboarding,2026-07-16,2026-08-15,2026-08-26,Completed
KYC-0408,ANL-06,Individual,Greece,Medium,Onboarding,2026-03-14,2026-04-13,2026-05-01,Completed
KYC-0409,ANL-06,Corporate,Spain,Low,Onboarding,2026-01-28,2026-03-04,2026-03-13,Completed
KYC-0410,ANL-08,Corporate,Spain,Low,Triggered,2026-08-26,2026-09-21,2026-09-11,Completed
KYC-0411,ANL-01,Corporate,Ireland,Low,Onboarding,2026-09-06,2026-10-11,,In Progress
KYC-0412,ANL-01,Individual,France,Medium,Periodic,2026-03-04,2026-04-18,2026-03-10,Completed
KYC-0413,ANL-02,Individual,France,High,Onboarding,2026-09-21,2026-10-16,,In Progress
KYC-0414,ANL-01,Corporate,Ireland,Low,Periodic,2026-06-26,2026-08-15,,In Progress
KYC-0415,ANL-03,Corporate,Spain,Low,Onboarding,2026-09-23,2026-10-28,,In Progress
KYC-0416,ANL-02,Individual,Italy,Low,Periodic,2026-09-05,2026-10-25,,In Progress
KYC-0417,ANL-04,Individual,France,High,Periodic,2026-04-12,2026-05-22,2026-05-19,Completed
KYC-0418,ANL-08,Corporate,Cyprus,Medium,Periodic,2026-08-28,2026-10-12,,In Progress
KYC-0419,ANL-07,Individual,Greece,High,Onboarding,2026-09-11,2026-10-06,,Open
KYC-0420,ANL-05,Individual,Greece,Medium,Periodic,2026-03-12,2026-04-26,2026-03-21,Completed
KYC-0421,ANL-06,Individual,Greece,Medium,Periodic,2026-08-12,2026-09-26,2026-09-06,Completed
KYC-0422,ANL-04,Individual,France,Low,Onboarding,2026-01-02,2026-02-06,2026-01-09,Completed
KYC-0423,ANL-05,Individual,Italy,Low,Onboarding,2026-07-22,2026-08-26,2026-09-19,Completed
KYC-0424,ANL-02,Corporate,France,Low,Periodic,2026-05-29,2026-07-18,2026-06-12,Completed
KYC-0425,ANL-02,Corporate,Germany,Low,Periodic,2025-12-21,2026-02-09,2026-02-15,Completed
KYC-0426,ANL-03,Individual,France,Medium,Triggered,2026-03-27,2026-04-17,2026-05-06,Completed
KYC-0427,ANL-01,Individual,Cyprus,High,Onboarding,2026-09-02,2026-09-27,,Open
KYC-0428,ANL-04,Individual,France,Low,Onboarding,2026-08-12,2026-09-16,,In Progress
KYC-0429,ANL-01,Individual,Spain,Medium,Triggered,2026-09-05,2026-09-26,,In Progress
KYC-0430,ANL-01,Individual,Spain,Medium,Periodic,2026-06-09,2026-07-24,2026-06-18,Completed
KYC-0431,ANL-06,Individual,Spain,High,Onboarding,2026-02-16,2026-03-13,2026-03-06,Completed
KYC-0432,ANL-01,Corporate,Ireland,High,Onboarding,2025-12-25,2026-01-19,2026-02-24,Completed
KYC-0433,ANL-05,Individual,Cyprus,Medium,Triggered,2026-04-05,2026-04-26,2026-05-12,Completed
KYC-0434,ANL-03,Corporate,Italy,Low,Triggered,2026-09-21,2026-10-17,,In Progress
KYC-0435,ANL-02,Individual,Netherlands,Medium,Onboarding,2026-05-15,2026-06-14,2026-06-17,Completed
KYC-0436,ANL-05,Corporate,Ireland,Low,Onboarding,2026-03-06,2026-04-10,2026-03-27,Completed
KYC-0437,ANL-07,Corporate,Ireland,Medium,Onboarding,2026-09-23,2026-10-23,,Open
KYC-0438,ANL-08,Corporate,Netherlands,High,Periodic,2026-09-11,2026-10-21,,Open
KYC-0439,ANL-05,Individual,Italy,Medium,Triggered,2026-04-20,2026-05-11,2026-05-09,Completed
KYC-0440,ANL-01,Individual,Greece,Low,Onboarding,2026-04-03,2026-05-08,2026-04-23,Completed
KYC-0441,ANL-08,Individual,Netherlands,Medium,Periodic,2025-12-18,2026-02-01,2026-01-21,Completed
KYC-0442,ANL-07,Individual,Italy,High,Periodic,2026-08-31,2026-10-10,,In Progress
KYC-0443,ANL-02,Individual,Spain,Low,Periodic,2026-07-13,2026-09-01,,In Progress
KYC-0444,ANL-07,Individual,Netherlands,Medium,Onboarding,2026-01-22,2026-02-21,2026-03-10,Completed
KYC-0445,ANL-05,Individual,Netherlands,Medium,Periodic,2026-03-29,2026-05-13,2026-04-12,Completed
KYC-0446,ANL-07,Individual,Ireland,Medium,Periodic,2026-08-22,2026-10-06,,In Progress
KYC-0447,ANL-07,Corporate,Germany,Low,Onboarding,2026-07-20,2026-08-24,2026-09-14,Completed
KYC-0448,ANL-07,Individual,Greece,Medium,Periodic,2026-02-04,2026-03-21,2026-04-04,Completed
KYC-0449,ANL-05,Individual,Germany,Low,Onboarding,2026-08-06,2026-09-10,,In Progress
KYC-0450,ANL-04,Corporate,Cyprus,Low,Onboarding,2026-07-27,2026-08-31,2026-08-28,Completed
KYC-0451,ANL-03,Corporate,France,High,Onboarding,2026-01-22,2026-02-16,2026-03-14,Completed
KYC-0452,ANL-03,Individual,France,Medium,Periodic,2026-08-13,2026-09-27,2026-09-13,Completed
KYC-0453,ANL-02,Individual,Italy,Medium,Periodic,2026-09-10,2026-10-25,,Open
KYC-0454,ANL-01,Individual,Netherlands,Low,Periodic,2026-04-18,2026-06-07,2026-06-22,Completed
KYC-0455,ANL-04,Individual,Greece,Low,Onboarding,2026-03-23,2026-04-27,2026-04-06,Completed
KYC-0456,ANL-01,Individual,France,Low,Periodic,2025-12-07,2026-01-26,2026-01-12,Completed
KYC-0457,ANL-08,Corporate,Germany,High,Onboarding,2026-09-10,2026-10-05,,In Progress
KYC-0458,ANL-01,Corporate,Ireland,Low,Onboarding,2026-08-02,2026-09-06,2026-09-10,Completed
KYC-0459,ANL-05,Individual,Italy,Medium,Periodic,2026-07-24,2026-09-07,,Open
KYC-0460,ANL-02,Individual,Germany,Low,Periodic,2026-05-31,2026-07-20,2026-07-13,Completed
KYC-0461,ANL-05,Corporate,Greece,High,Onboarding,2026-07-11,2026-08-05,2026-08-21,Completed
KYC-0462,ANL-01,Corporate,France,Low,Periodic,2026-05-04,2026-06-23,2026-06-16,Completed
KYC-0463,ANL-06,Corporate,Spain,Low,Periodic,2025-11-28,2026-01-17,2026-01-21,Completed
KYC-0464,ANL-08,Corporate,Cyprus,Low,Onboarding,2026-03-13,2026-04-17,2026-05-12,Completed
KYC-0465,ANL-02,Corporate,Netherlands,Medium,Onboarding,2026-03-20,2026-04-19,2026-05-22,Completed
KYC-0466,ANL-01,Corporate,Netherlands,High,Periodic,2026-07-20,2026-08-29,,In Progress
KYC-0467,ANL-08,Corporate,Greece,Medium,Onboarding,2026-06-29,2026-07-29,2026-07-19,Completed
KYC-0468,ANL-04,Individual,Italy,Medium,Triggered,2026-09-06,2026-09-27,,In Progress
KYC-0469,ANL-04,Corporate,Greece,Low,Onboarding,2026-05-06,2026-06-10,2026-06-13,Completed
KYC-0470,ANL-08,Corporate,Spain,Medium,Periodic,2026-04-18,2026-06-02,2026-06-16,Completed
KYC-0471,ANL-07,Individual,Greece,High,Periodic,2026-05-02,2026-06-11,2026-06-09,Completed
KYC-0472,ANL-03,Individual,Cyprus,Low,Periodic,2026-08-09,2026-09-28,,Open
KYC-0473,ANL-03,Individual,Ireland,Medium,Periodic,2026-04-15,2026-05-30,2026-04-20,Completed
KYC-0474,ANL-02,Individual,Cyprus,Medium,Periodic,2026-02-09,2026-03-26,2026-03-05,Completed
KYC-0475,ANL-01,Corporate,Italy,Medium,Periodic,2026-06-04,2026-07-19,2026-06-10,Completed
KYC-0476,ANL-08,Individual,Netherlands,Low,Onboarding,2026-05-04,2026-06-08,2026-06-28,Completed
KYC-0477,ANL-01,Individual,Germany,Low,Periodic,2026-09-05,2026-10-25,,Open
KYC-0478,ANL-02,Corporate,Ireland,High,Periodic,2026-08-07,2026-09-16,,In Progress
KYC-0479,ANL-07,Individual,Ireland,Low,Onboarding,2026-08-11,2026-09-15,,In Progress
KYC-0480,ANL-03,Individual,Germany,Low,Triggered,2026-08-25,2026-09-20,,Open
KYC-0481,ANL-05,Individual,Italy,High,Periodic,2026-09-09,2026-10-19,,In Progress
KYC-0482,ANL-03,Individual,France,Medium,Periodic,2026-07-26,2026-09-09,,In Progress
KYC-0483,ANL-03,Corporate,Spain,High,Periodic,2026-01-11,2026-02-20,2026-01-30,Completed
KYC-0484,ANL-07,Individual,Spain,Low,Triggered,2026-03-13,2026-04-08,2026-04-24,Completed
KYC-0485,ANL-02,Individual,Netherlands,Medium,Periodic,2026-09-16,2026-10-31,,Open
KYC-0486,ANL-01,Corporate,Spain,Medium,Periodic,2025-12-25,2026-02-08,2026-01-05,Completed
KYC-0487,ANL-01,Individual,Spain,Low,Periodic,2026-09-01,2026-10-21,,In Progress
KYC-0488,ANL-04,Corporate,Ireland,Low,Onboarding,2026-09-03,2026-10-08,2026-09-14,Completed
KYC-0489,ANL-01,Corporate,Italy,High,Triggered,2026-01-19,2026-02-04,2026-02-13,Completed
KYC-0490,ANL-06,Corporate,Netherlands,Medium,Onboarding,2026-09-05,2026-10-05,,In Progress
KYC-0491,ANL-05,Individual,Ireland,Low,Triggered,2026-05-22,2026-06-17,2026-06-15,Completed
KYC-0492,ANL-04,Individual,Spain,Medium,Periodic,2026-06-28,2026-08-12,,In Progress
KYC-0493,ANL-03,Individual,Ireland,Low,Onboarding,2026-08-15,2026-09-19,2026-08-29,Completed
KYC-0494,ANL-08,Corporate,Spain,Low,Onboarding,2026-09-03,2026-10-08,,Open
KYC-0495,ANL-04,Corporate,Italy,Medium,Onboarding,2026-08-09,2026-09-08,2026-09-22,Completed
KYC-0496,ANL-06,Individual,France,Medium,Periodic,2026-09-01,2026-10-16,2026-09-20,Completed
KYC-0497,ANL-08,Corporate,Italy,Low,Periodic,2025-12-04,2026-01-23,2026-01-21,Completed
KYC-0498,ANL-02,Individual,Greece,Low,Periodic,2026-06-04,2026-07-24,,Open
KYC-0499,ANL-02,Individual,Spain,Medium,Onboarding,2026-07-24,2026-08-23,,In Progress
KYC-0500,ANL-06,Corporate,Spain,Medium,Onboarding,2026-07-30,2026-08-29,,In Progress
